Movie Title,Year (Top Grossing),Critics (From RT),Voting Member
Avengers: Endgame,2019,90,Rotten Tomato Fans
The Lion King,2019,88,Rotten Tomato Fans
Toy Story 4,2019,94,Rotten Tomato Fans
Frozen II,2019,92,Rotten Tomato Fans
Captain Marvel,2019,45,Rotten Tomato Fans
Spider-Man: Far from Home,2019,95,Rotten Tomato Fans
Aladdin,2019,94,Rotten Tomato Fans
Joker,2019,88,Rotten Tomato Fans
It Chapter Two,2019,78,Rotten Tomato Fans
Black Panther,2018,79,Rotten Tomato Fans
Avengers: Infinity War,2018,92,Rotten Tomato Fans
Incredibles 2,2018,84,Rotten Tomato Fans
Jurassic World: Fallen Kingdom,2018,48,Rotten Tomato Fans
Deadpool 2,2018,85,Rotten Tomato Fans
The Grinch,2018,51,Rotten Tomato Fans
Jumanji: Welcome to the Jungle,2018,87,Rotten Tomato Fans
Mission: Impossible - Fallout,2018,88,Rotten Tomato Fans
Ant-Man and the Wasp,2018,80,Rotten Tomato Fans
Solo: A Star Wars Story,2018,63,Rotten Tomato Fans
Star Wars: Episode VIII - The Last Jedi,2017,42,Rotten Tomato Fans
Beauty and the Beast,2017,80,Rotten Tomato Fans
Wonder Woman,2017,83,Rotten Tomato Fans
Guardians of the Galaxy Vol. 2,2017,87,Rotten Tomato Fans
Spider-Man: Homecoming,2017,87,Rotten Tomato Fans
It,2017,84,Rotten Tomato Fans
Thor: Ragnarok,2017,87,Rotten Tomato Fans
Despicable Me 3,2017,53,Rotten Tomato Fans
Logan,2017,90,Rotten Tomato Fans
The Fate of the Furious,2017,72,Rotten Tomato Fans
Finding Dory,2016,84,Rotten Tomato Fans
Rogue One: A Star Wars Story,2016,87,Rotten Tomato Fans
Captain America: Civil War,2016,89,Rotten Tomato Fans
The Secret Life of Pets,2016,90,Rotten Tomato Fans
The Jungle Book,2016,86,Rotten Tomato Fans
Deadpool,2016,90,Rotten Tomato Fans
Zootopia,2016,92,Rotten Tomato Fans
Batman v Superman: Dawn of Justice,2016,63,Rotten Tomato Fans
Suicide Squad,2016,58,Rotten Tomato Fans
Star Wars: Episode VII - The Force Awakens,2016,85,Rotten Tomato Fans
Jurassic World,2015,78,Rotten Tomato Fans
Avengers: Age of Ultron,2015,82,Rotten Tomato Fans
Inside Out,2015,89,Rotten Tomato Fans
Furious 7,2015,82,Rotten Tomato Fans
American Sniper,2015,84,Rotten Tomato Fans
Minions,2015,49,Rotten Tomato Fans
The Hunger Games: Mockingjay - Part 2,2015,66,Rotten Tomato Fans
The Martian,2015,91,Rotten Tomato Fans
Cinderella,2015,78,Rotten Tomato Fans
Avatar: The Way of Water,2022,77,IMDB Fans
Top Gun: Maverick,2022,83,IMDB Fans
Jurassic World: Dominion,2022,56,IMDB Fans
Doctor Strange in the Multiverse of Madness,2022,69,IMDB Fans
Minions: The Rise of Gru,2022,65,IMDB Fans
Black Panther: Wakanda Forever,2022,67,IMDB Fans
The Batman,2022,78,IMDB Fans
Thor: Love and Thunder,2022,63,IMDB Fans
 Fantastic Beasts: The Secrets of Dumbledore,2022,62,IMDB Fans
Puss in Boots: The Last Wish,2022,79,IMDB Fans
Spider-Man: No Way Home,2021,82,IMDB Fans
Shang-Chi and the Legend of the Ten Rings,2021,74,IMDB Fans
Venom: Let There Be Carnage,2021,59,IMDB Fans
Black Widow,2021,67,IMDB Fans
F9: The Fast Saga,2021,52,IMDB Fans
Eternals,2021,63,IMDB Fans
No Time to Die,2021,73,IMDB Fans
A Quiet Place Part II,2021,72,IMDB Fans
Ghostbusters: Afterlife,2021,71,IMDB Fans
Free Guy,2021,71,IMDB Fans
Bad Boys for Life,2020,65,IMDB Fans
1917,2020,82,IMDB Fans
Sonic the Hedgehog,2020,65,IMDB Fans
Jumanji: The Next Level,2020,69,IMDB Fans
Star Wars: Episode IX - The Rise of Skywalker,2020,65,IMDB Fans
Birds of Prey,2020,60,IMDB Fans
Dolittle,2020,56,IMDB Fans
Little Women,2020,78,IMDB Fans
The Invisible Man,2020,71,IMDB Fans
The Call of the Wild,2020,67,IMDB Fans
Avengers: Endgame,2019,84,IMDB Fans
The Lion King,2019,68,IMDB Fans
Toy Story 4,2019,77,IMDB Fans
Frozen II,2019,74,IMDB Fans
Captain Marvel,2019,68,IMDB Fans
Spider-Man: Far from Home,2019,74,IMDB Fans
Aladdin,2019,69,IMDB Fans
Joker,2019,84,IMDB Fans
It Chapter Two,2019,65,IMDB Fans
Black Panther,2018,73,IMDB Fans
Avengers: Infinity War,2018,84,IMDB Fans
Incredibles 2,2018,76,IMDB Fans
Jurassic World: Fallen Kingdom,2018,61,IMDB Fans
Deadpool 2,2018,77,IMDB Fans
The Grinch,2018,64,IMDB Fans
Jumanji: Welcome to the Jungle,2018,69,IMDB Fans
Mission: Impossible - Fallout,2018,77,IMDB Fans
Ant-Man and the Wasp,2018,70,IMDB Fans
Solo: A Star Wars Story,2018,69,IMDB Fans
Star Wars: Episode VIII - The Last Jedi,2017,69,IMDB Fans
Beauty and the Beast,2017,71,IMDB Fans
Wonder Woman,2017,74,IMDB Fans
Guardians of the Galaxy Vol. 2,2017,76,IMDB Fans
Spider-Man: Homecoming,2017,74,IMDB Fans
It,2017,73,IMDB Fans
Thor: Ragnarok,2017,79,IMDB Fans
Despicable Me 3,2017,62,IMDB Fans
Logan,2017,81,IMDB Fans
The Fate of the Furious,2017,66,IMDB Fans
Finding Dory,2016,73,IMDB Fans
Rogue One: A Star Wars Story,2016,78,IMDB Fans
Captain America: Civil War,2016,78,IMDB Fans
The Secret Life of Pets,2016,65,IMDB Fans
The Jungle Book,2016,74,IMDB Fans
Deadpool,2016,80,IMDB Fans
Zootopia,2016,80,IMDB Fans
Batman v Superman: Dawn of Justice,2016,64,IMDB Fans
Suicide Squad,2016,59,IMDB Fans
Star Wars: Episode VII - The Force Awakens,2016,78,IMDB Fans
Jurassic World,2015,69,IMDB Fans
Avengers: Age of Ultron,2015,73,IMDB Fans
Inside Out,2015,81,IMDB Fans
Furious 7,2015,71,IMDB Fans
American Sniper,2015,73,IMDB Fans
Minions,2015,64,IMDB Fans
The Hunger Games: Mockingjay - Part 2,2015,65,IMDB Fans
The Martian,2015,80,IMDB Fans
Cinderella,2015,69,IMDB Fans
